Rk,Player▲,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player▲-additional
1,Precious Achiuwa,26,SAC,C,47,31,20.3,3.0,6.0,.498,0.3,1.1,.296,2.7,4.9,.546,.527,0.8,1.6,.527,1.9,3.6,5.4,1.1,0.8,0.5,0.7,1.6,7.2,,achiupr01
2,Steven Adams,32,HOU,C,32,11,22.8,2.2,4.3,.504,0.0,0.0,,2.2,4.3,.504,.504,1.5,2.5,.580,4.5,4.1,8.6,1.5,0.7,0.6,1.1,1.7,5.8,,adamsst01
3,Bam Adebayo,28,MIA,C,47,47,31.3,6.5,14.6,.446,1.6,4.7,.342,4.9,9.9,.496,.501,3.6,4.6,.783,2.1,7.7,9.8,2.8,1.0,0.6,1.8,1.7,18.3,,adebaba01
4,Ochai Agbaji,25,TOR,SG,42,13,15.5,1.7,4.0,.424,0.3,1.5,.185,1.4,2.5,.571,.459,0.6,0.7,.862,0.8,1.5,2.3,0.7,0.4,0.3,0.5,1.8,4.3,,agbajoc01
5,Santi Aldama,25,MEM,PF,43,11,27.9,5.3,11.1,.479,1.6,4.7,.350,3.7,6.4,.572,.553,1.8,2.7,.667,1.6,5.1,6.7,2.9,0.9,0.7,1.3,1.6,14.0,,aldamsa01
6,Trey Alexander,22,NOP,SG,5,0,8.4,1.2,1.8,.667,0.4,0.6,.667,0.8,1.2,.667,.778,0.0,0.0,,0.0,0.8,0.8,1.0,0.2,0.2,0.2,0.8,2.8,,alexatr01
7,Nickeil Alexander-Walker,27,ATL,SG,53,46,33.1,6.9,15.8,.437,3.1,8.2,.376,3.8,7.6,.502,.535,3.4,3.8,.882,0.6,3.0,3.6,3.7,1.2,0.6,2.0,2.2,20.3,,alexani01
8,Grayson Allen,30,PHO,SG,35,26,30.3,5.6,13.5,.418,3.3,9.1,.369,2.3,4.4,.519,.542,2.4,2.9,.842,0.7,2.3,3.0,4.0,1.4,0.3,1.7,2.3,17.0,,allengr01
9,Jarrett Allen,27,CLE,C,42,42,27.3,5.7,9.3,.615,0.0,0.2,.111,5.7,9.1,.627,.617,3.0,4.0,.746,2.3,5.9,8.3,2.0,1.0,0.8,1.4,1.8,14.5,,allenja01
10,Jose Alvarado,27,2TM,PG,42,0,21.9,2.9,7.0,.418,1.7,4.7,.362,1.2,2.2,.538,.541,0.5,0.6,.833,0.4,2.4,2.8,3.1,0.9,0.1,1.1,2.0,8.0,,alvarjo01
11,Kyle Anderson,32,2TM,SF,22,2,20.6,3.0,5.4,.546,0.1,0.2,.600,2.8,5.2,.544,.559,1.3,2.0,.651,0.9,2.5,3.5,2.9,1.2,0.6,1.0,2.3,7.3,,anderky01
12,Giannis Antetokounmpo,31,MIL,PF,30,30,29.2,10.5,16.2,.645,0.5,1.3,.395,10.0,15.0,.666,.660,6.5,9.9,.658,2.8,7.2,10.0,5.6,0.9,0.7,3.3,2.6,28.0,,antetgi01
13,Thanasis Antetokounmpo,33,MIL,SF,18,0,3.0,0.4,0.8,.533,0.0,0.1,.000,0.4,0.8,.571,.533,0.3,0.6,.545,0.4,0.3,0.7,0.1,0.3,0.2,0.2,0.5,1.2,,antetth01
14,Cole Anthony,25,MIL,PG,35,0,15.1,2.8,6.6,.424,0.6,2.1,.306,2.2,4.5,.478,.472,0.5,0.7,.615,0.5,2.0,2.5,3.5,0.6,0.3,1.9,2.1,6.7,,anthoco01
15,OG Anunoby,28,NYK,PF,41,41,33.0,5.8,12.2,.479,2.1,5.6,.370,3.8,6.6,.572,.564,2.8,3.5,.800,1.4,4.0,5.5,2.4,1.7,0.7,2.1,2.5,16.6,,anunoog01
16,Deni Avdija,25,POR,SF,45,45,34.4,7.8,16.7,.467,2.3,6.4,.354,5.5,10.3,.538,.535,7.6,9.5,.800,1.2,6.1,7.2,6.7,0.8,0.6,3.8,2.6,25.5,,avdijde01
17,Deandre Ayton,27,LAL,C,46,46,28.2,6.0,9.0,.675,0.0,0.0,,6.0,9.0,.675,.675,1.2,1.8,.646,2.5,5.9,8.5,0.9,0.6,1.0,1.4,2.3,13.2,,aytonde01
18,Marvin Bagley III,26,2TM,PF,39,8,19.4,4.1,6.7,.615,0.2,0.5,.450,3.9,6.2,.629,.633,1.8,2.7,.692,2.7,3.2,5.8,1.5,0.5,0.8,1.1,2.0,10.3,,baglema01
19,Ace Bailey,19,UTA,SF,47,36,26.1,4.7,10.5,.447,1.5,4.3,.338,3.2,6.2,.524,.517,0.7,1.0,.708,1.5,2.2,3.8,1.6,0.8,0.5,1.3,2.6,11.6,,baileac01
20,Patrick Baldwin Jr.,23,2TM,SF,3,0,4.7,1.0,1.3,.750,0.7,1.0,.667,0.3,0.3,1.000,1.000,0.7,0.7,1.000,0.0,0.7,0.7,0.0,0.0,0.0,0.3,0.7,3.3,,baldwpa01
21,LaMelo Ball,24,CHO,PG,44,41,27.6,6.8,16.8,.402,3.4,9.3,.362,3.4,7.5,.452,.502,2.3,2.5,.884,0.9,4.0,4.8,7.4,1.1,0.2,3.1,2.6,19.2,,ballla01
22,Lonzo Ball,28,CLE,PG,35,3,20.8,1.5,5.0,.301,1.1,4.2,.272,0.4,0.8,.448,.415,0.4,0.6,.667,0.7,3.3,4.0,3.9,1.3,0.3,1.5,1.3,4.6,,balllo01
23,Mo Bamba,27,TOR,C,2,0,3.0,0.0,1.0,.000,0.0,0.0,,0.0,1.0,.000,.000,0.0,0.0,,0.5,0.5,1.0,0.0,0.0,0.5,0.0,1.0,0.0,,bambamo01
