Rk,Player▲,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player▲-additional
1,Precious Achiuwa,26,SAC,C,47,31,956,14.1,.534,.191,.261,10.2,20.1,15.0,8.0,2.0,2.4,8.9,15.5,0.7,0.7,1.4,.069,-1.3,-0.3,-1.6,0.1,,achiupr01
2,Steven Adams,32,HOU,C,32,11,730,15.9,.535,.000,.583,21.8,19.7,20.8,8.4,1.5,2.5,16.7,12.0,1.1,1.0,2.1,.139,-0.1,-0.4,-0.5,0.3,,adamsst01
3,Bam Adebayo,28,MIA,C,47,47,1469,17.2,.549,.324,.316,6.7,25.5,16.0,12.8,1.5,1.8,9.9,23.9,1.0,2.4,3.5,.113,0.8,0.6,1.4,1.3,,adebaba01
4,Ochai Agbaji,25,TOR,SG,42,13,650,7.5,.495,.382,.171,5.6,10.8,8.2,6.0,1.3,1.7,9.4,13.2,0.0,0.7,0.6,.047,-4.8,-0.1,-4.9,-0.5,,agbajoc01
5,Santi Aldama,25,MEM,PF,43,11,1198,16.4,.572,.420,.239,6.0,19.5,12.8,15.6,1.5,2.4,9.5,20.1,1.4,1.4,2.8,.111,1.2,0.6,1.8,1.2,,aldamsa01
6,Trey Alexander,22,NOP,SG,5,0,42,13.6,.778,.333,.000,0.0,10.6,5.2,16.5,1.1,2.3,10.0,10.0,0.1,0.0,0.1,.129,0.4,0.2,0.6,0.0,,alexatr01
7,Nickeil Alexander-Walker,27,ATL,SG,53,46,1755,15.3,.580,.517,.243,1.9,10.0,5.9,16.2,1.7,1.6,10.4,24.6,1.3,1.4,2.7,.074,0.6,-1.1,-0.5,0.7,,alexani01
8,Grayson Allen,30,PHO,SG,35,26,1059,16.1,.578,.673,.214,2.6,8.7,5.5,19.7,2.3,0.9,10.3,22.9,1.7,1.1,2.8,.129,2.0,0.1,2.1,1.1,,allengr01
9,Jarrett Allen,27,CLE,C,42,42,1148,20.4,.654,.023,.433,9.2,23.9,16.5,10.5,1.7,2.8,10.9,18.8,2.8,1.7,4.5,.187,1.2,0.7,1.8,1.1,,allenja01
10,Jose Alvarado,27,2TM,PG,42,0,921,11.3,.555,.682,.082,1.8,12.0,6.8,19.2,2.0,0.5,13.7,15.9,0.5,0.5,1.0,.053,-1.5,-0.4,-2.0,0.0,,alvarjo01
11,Kyle Anderson,32,2TM,SF,22,2,454,14.2,.584,.042,.361,4.7,13.5,9.1,19.1,2.8,3.0,14.3,14.6,0.5,0.3,0.8,.084,-1.3,0.8,-0.5,0.2,,anderky01
12,Giannis Antetokounmpo,31,MIL,PF,30,30,876,33.5,.679,.078,.612,10.9,27.6,19.3,38.6,1.5,2.5,13.9,36.3,3.7,1.1,4.8,.261,8.1,2.3,10.3,2.7,,antetgi01
13,Thanasis Antetokounmpo,33,MIL,SF,18,0,54,17.7,.554,.067,.733,14.8,10.3,12.5,5.2,5.4,5.4,13.1,18.7,0.0,0.1,0.1,.130,-2.6,2.3,-0.3,0.0,,antetth01
14,Cole Anthony,25,MIL,PG,35,0,527,10.7,.483,.312,.113,3.5,15.0,9.3,34.3,1.9,2.0,21.1,25.8,-0.9,0.5,-0.4,-0.036,-3.8,-0.8,-4.7,-0.4,,anthoco01
15,OG Anunoby,28,NYK,PF,41,41,1353,15.7,.603,.461,.291,4.7,13.7,9.1,10.2,2.6,2.1,13.1,20.3,1.5,1.9,3.4,.121,0.4,1.0,1.4,1.2,,anunoog01
16,Deni Avdija,25,POR,SF,45,45,1550,21.1,.610,.383,.571,3.6,19.3,11.3,31.2,1.1,1.6,15.5,29.0,3.7,1.4,5.1,.158,4.5,0.3,4.9,2.7,,avdijde01
17,Deandre Ayton,27,LAL,C,46,46,1299,18.3,.680,.000,.199,10.9,23.7,17.6,4.8,1.1,3.2,12.3,17.1,2.5,1.3,3.8,.141,0.0,-1.0,-1.0,0.3,,aytonde01
18,Marvin Bagley III,26,2TM,PF,39,8,755,21.0,.656,.077,.400,14.6,17.3,15.9,11.9,1.3,3.6,12.6,19.3,1.9,0.4,2.4,.149,2.0,-1.0,1.0,0.6,,baglema01
19,Ace Bailey,19,UTA,SF,47,36,1225,10.7,.529,.413,.097,6.3,9.5,7.9,9.1,1.5,1.8,10.3,19.3,-0.1,0.1,0.0,-0.001,-2.1,-2.5,-4.5,-0.8,,baileac01
20,Patrick Baldwin Jr.,23,2TM,SF,3,0,14,21.3,1.025,.750,.500,0.0,16.1,8.1,0.0,0.0,0.0,17.0,18.7,0.1,0.0,0.1,.190,3.7,-0.8,2.9,0.0,,baldwpa01
21,LaMelo Ball,24,CHO,PG,44,41,1214,18.6,.533,.552,.151,3.6,15.8,9.9,44.5,2.0,0.7,14.6,32.1,1.4,1.3,2.7,.108,3.7,-0.7,3.0,1.5,,ballla01
22,Lonzo Ball,28,CLE,PG,35,3,728,9.5,.432,.835,.119,3.8,17.2,10.5,22.5,2.9,1.1,21.9,13.5,-0.4,1.1,0.7,.043,-3.0,1.9,-1.1,0.2,,balllo01
23,Mo Bamba,27,TOR,C,2,0,6,-2.8,.000,.000,.000,18.4,18.9,18.6,0.0,0.0,16.4,0.0,14.2,0.0,0.0,0.0,-0.159,-19.0,-2.7,-21.7,0.0,,bambamo01
24,Paolo Banchero,23,ORL,PF,42,42,1442,17.6,.562,.239,.508,3.5,24.4,13.8,22.0,1.0,1.7,12.9,26.8,1.1,1.7,2.8,.094,1.2,0.1,1.4,1.2,,banchpa01
